"filename", "language", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\app.js", "JavaScript", 55, 0, 0, 2, 10, 67
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\database.js", "JavaScript", 8, 0, 0, 0, 2, 10
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\jest.config.js", "JavaScript", 4, 0, 0, 0, 1, 5
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\anotacaoModels.js", "JavaScript", 35, 0, 0, 30, 15, 80
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\cargoModels.js", "JavaScript", 31, 0, 0, 30, 14, 75
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\comentarioModels.js", "JavaScript", 58, 0, 0, 8, 19, 85
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\disciplinaModels.js", "JavaScript", 87, 0, 0, 9, 17, 113
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\estatisticasAdminModels.js", "JavaScript", 151, 0, 0, 3, 36, 190
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\estatisticasModels.js", "JavaScript", 168, 0, 0, 3, 19, 190
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\queryModels.js", "JavaScript", 204, 0, 0, 181, 54, 439
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\reviewModels.js", "JavaScript", 36, 0, 0, 6, 9, 51
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\utilizadorModels.js", "JavaScript", 208, 0, 0, 4, 34, 246
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\models\videoModels.js", "JavaScript", 307, 0, 0, 24, 58, 389
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\package-lock.json", "JSON", 0, 0, 8672, 0, 1, 8673
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\package.json", "JSON", 0, 0, 32, 0, 1, 33
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\routes\anotacaoRoutes.js", "JavaScript", 67, 0, 0, 37, 14, 118
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\routes\cargoRoutes.js", "JavaScript", 39, 0, 0, 6, 10, 55
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\routes\comentarioRoutes.js", "JavaScript", 115, 0, 0, 14, 32, 161
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\routes\disciplinaRoutes.js", "JavaScript", 141, 0, 0, 18, 41, 200
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\routes\queryRoutes.js", "JavaScript", 89, 0, 0, 47, 25, 161
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\routes\reviewRoutes.js", "JavaScript", 67, 0, 0, 6, 14, 87
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\routes\utilizadorRoutes.js", "JavaScript", 209, 0, 0, 17, 52, 278
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\routes\videoRoutes.js", "JavaScript", 227, 0, 0, 55, 48, 330
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\services\Autenticacao.js", "JavaScript", 14, 0, 0, 0, 9, 23
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\services\contemPalavraOfensiva.js", "JavaScript", 9, 0, 0, 0, 3, 12
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\services\getVideoDuration.js", "JavaScript", 23, 0, 0, 0, 7, 30
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\services\palavrasproibidas.json", "JSON", 0, 0, 22, 0, 0, 22
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\services\upload.js", "JavaScript", 25, 0, 0, 2, 9, 36
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\services\verificarCargo.js", "JavaScript", 10, 0, 0, 0, 3, 13
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\services\verificarJWT.js", "JavaScript", 11, 0, 0, 0, 3, 14
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\tests\anotacao.test.js", "JavaScript", 59, 0, 0, 2, 16, 77
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\tests\comentario.test.js", "JavaScript", 67, 0, 0, 2, 25, 94
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\tests\disciplina.test.js", "JavaScript", 109, 0, 0, 10, 41, 160
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\tests\review.test.js", "JavaScript", 124, 0, 0, 5, 45, 174
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\tests\utilizador.testaaa.js", "JavaScript", 97, 0, 0, 4, 33, 134
"c:\Users\guilh\OneDrive\Documentos\Trylearn\server\uploads\thumbnails\1751745887001-thumbnail.svg", "XML", 0, 1250, 0, 0, 1, 1251
"Total", "-", 2854, 1250, 8726, 525, 721, 14076
