"filename", "language", "HTML", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\eslint.config.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3805, 0, 1, 3806
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\package.json", "JSON", 0, 0, 0, 0, 0, 0, 37, 0, 1, 38
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\Logo.svg", "XML", 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\Logo2.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\Stats.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\Videos.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\admin.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\carrinho.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\criar.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\home.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\user.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\App.css", "PostCSS", 0, 0, 0, 0, 76, 0, 0, 4, 23, 103
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\App.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 15, 96
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Admin\index.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 0, 0, 20, 76
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Admin\style.css", "PostCSS", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Estatisticas\disciplinas.jsx", "JavaScript JSX", 0, 0, 180, 0, 0, 0, 0, 6, 22, 208
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Estatisticas\index.jsx", "JavaScript JSX", 0, 0, 211, 0, 0, 0, 0, 5, 19, 235
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Estatisticas\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Estatisticas\utilizadores.jsx", "JavaScript JSX", 0, 0, 184, 0, 0, 0, 0, 3, 23, 210
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Main\index.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Main\style.css", "PostCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\NotFound\index.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\NotFound\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Cargo\create.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 5, 56
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Cargo\edit.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 1, 6, 75
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Cargo\index.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 0, 0, 13, 139
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Cargo\style.css", "PostCSS", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Comentario\edit.jsx", "JavaScript JSX", 0, 0, 70, 0, 0, 0, 0, 1, 10, 81
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Comentario\index.jsx", "JavaScript JSX", 0, 0, 231, 0, 0, 0, 0, 5, 22, 258
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Comentario\style.css", "PostCSS", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Disciplina\create.jsx", "JavaScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 10, 92
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Disciplina\edit.jsx", "JavaScript JSX", 0, 0, 103, 0, 0, 0, 0, 1, 13, 117
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Disciplina\index.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 0, 4, 17, 174
